Reforma del estado,Combate a la corrupción,Seguridad Paz y Justicia,El papel de México en el mundo,Estado,Distrito
Disminución del número de diputados y senadores. Eliminación de órganos autónomos.,Penas severas a los funcionarios públicos que comentan actos ilícitos. ,Coordinarse con las guardias comunitarias y no criminalizarlas. ,Lograr la mayor integración latinoamericana.,CDMX,5
Proponer una política industrial.,¡Cambio de verdad! Hoy sigue existiendo desempleo violencia y corrupción.,Justicia real. ,Mirar a los pueblos el porqué de la migración. ,CDMX,5
Siempre quitar los privilegios.,"Registro, carta de antecedentes penales y no reelección de funcionarios públicos.","Revisar las propuestas de Pérez Ricard sobre desaparecer las policías municipales, y hacer un mando único que coordine todos los esfuerzos quitar la autonomía de las fiscalías.",Manifestarse en foros internacionales promoviendo la paz entre todos los países.,CDMX,5
Queremos libertad de expresión y justicia y no impunidad a los rateros políticos. ,Se necesita atender con mas eficiencia a las personas que necesitan ayuda. ,Reformar ministerios públicos. ,Realizar alianzas económicas con países afines en objetivos e intereses nacionales. ,CDMX,5
Elección popular de servidores en los organismos autónomos.,"Que el pueblo decida, con nuestros votos. ",Que trabajen bien.,No sigan negociando la tierra mexicana.,CDMX,5
"Aún falta que les sigan bajando los sueldos estratosféricos a muchos funcionarios, pues el pueblo gana muy poco, un salario mensual como de $10,000.","Por México, cero corrupción siga la 4T. ",Evaluar desempeño periódico de ministerios públicos y jueces. ,Conformación bloque Latinoamérica. ,CDMX,5
Territorio y escritorio ,Rendición permanente por varias vías del uso de recursos.,Seguir promoviendo cursos para los policías para seguir incrementando su salario y atender mejor a la ciudadanía. ,Que se de atención prioritaria en las necesidades de los connacionales.,CDMX,5
"Reemplazar todo el poder judicial, fuera restos de toda la corrupción neoliberal, independencia de cada poder y que se respete el mandato del presidente y los srios.",Que los servidores públicos directores secretarios diputadas y diputados no usen présta nombres para conseguir contratos así como no permitir el nepotismo familiar con los cargos públicos,"El que la se la paga no guardarlos como estancos hoy, ya no hay que mantenerlos, ya basta.",Atender las propuestas de la Convención Nacional Morenista. ,CDMX,5
Fuera los corruptos ministros de la Suprema Corte.,"No atacar al personal que está haciendo el bien sino al contrario, seguir apoyando. ",Atender las propuestas de la Convención Nacional Morenista. ,"Apoyo a los gobiernos de izquierda, solidaridad. ",CDMX,5
"Reducción de diputados y senadores, eliminación de plurinominales. ",Seguimiento y auditorias constantes en alcaldías.,Crear los mecanismos para evitar a toda costa la impunidad; ninguna forma de impunidad,Voto desde el exterior.,CDMX,5
