Reforma del Estado,Combate a la Corrupción,"Seguridad, Paz y Justicia",El papel de México en el Mundo,Estado,Distrito
"En C: Si la justicia es un derecho, debe estar bajo la responsabilidad del estado y del pueblo. La institución que la imparta debe ser publica y que garantice justicia verdadera. Se deben elegir magistrados y jueces en procesos democraticos.  ",Que el pueblo participe para quitar al poder judicial,"Una guardia civil abierta, personas de alta moral ",,Hidalgo,7
Internet para todos los mexicanos y mexicanas ,formar asambleas de contralorias ciudadanas ,Pensión de 60 años ,,Hidalgo,7
,Cuidar bien a los gobiernos municipales ,Equidad en los tres poderes del estado,,Hidalgo,7
,Capacitación a profundidad de ministerios publicos y sanciones en caso de corrupción muy severas ,Una vez que las fuerzas armadas controlen la paz se tendra confianza en las calles y la violencia disminuira ,,Hidalgo,7
,Bjara sueldos y dietas a comites de votación popular y el recurso se ejerza en obra publica ,Castigo a los jueces corruptos ,,Hidalgo,7
,Que los recursos se aprovechen y que se supervicen las obras ,Capacitación a policias y becas para niños ,,Hidalgo,7
,Aumentar la transparencia de municipios ,"Que los MP trabajen dando seguimiento dando seguimiento a las denuncias, que sean evaluados y capacitados  ",,Hidalgo,7
,Hacer auditorias mas seguido ,"Prevención de la violencia, camapañas en escuelas encaminadas a trabajos sociales ",,Hidalgo,7
,Aplicar dentro de las familias valores eticos.,Crear cooperativas y pequeñas empresas para jovenes emprendedores y que permitan el aprovechamiento de recursos locales y mejores condiciones de vida. Facilitar registros de patentes y derechos de autor.,,Hidalgo,7
,,Restructurar los sistemas de impartición de justicia ,,Hidalgo,7
,,Comabatir la miseria economica y la ignorancia ,,Hidalgo,7
,, ,,Hidalgo,7
Quitar todo tipo de monopolio,Que nuestras autoridades públicas sean personas calificadas,Construir una agencia de investigación criminal,Que se nombre un representante de migrantes en cada distrito,Jalisco,1
Buscar formas para que los pueblos pequeños se rijan conforme a pueblos pequeños vigilados por el poder federal,Transparentar cuentas con proveedores de servicios y productos,Que se sancione y castigue a la autoridad que no cumpla con la seguridad,Que se genere un directorio de migrantes,Jalisco,1
Garantizar la protección de la población,Revisar las plazas de los maestros y darles lugar a personas que quieran aportar,Deporte y cultura para los municipios para abonar a la seguridad,Fortalecer las relaciones económicas y diplomáticas en América latina,Jalisco,1
Generar organizaciones que vigilen el correcto proceder de las instituciones,Dar asesoría con las denuncias,Evitar que el crimen organizado no siga creciendo,,Jalisco,1
Que se derive la información información política diaria por medios digitalizados actuales,Fortalecer las áreas de administración y finanzas en un enfoque de austeridad y ética,Más seguridad en los pueblos vigilar al gobierno municipal qué patrulla por las calles el ejército,,Jalisco,1
Que los futuros funcionarios cumplan con los principios que rigen la cuarta transformación,Transparencia en todas las instituciones,Las mujeres necesitamos de la protección del gobierno más puestos de la guardia nacional,,Jalisco,1
,,Capacitación al ejército y a policías municipales,,Jalisco,1
,,Módulos permanentes de guardia nacional en destinos turísticos,,Jalisco,1
,,Fortalecer el sistema educativo en todos los niveles,,Jalisco,1
,,Capacitación y equipamiento a fuerzas de seguridad locales para que no se hagan cómplices,,Jalisco,1
,,Centro de rehabilitación del gobierno,,Jalisco,1
,,,,Jalisco,1
Más seguridad para el pueblo y apoyo para las personas con enfermedades crónicas,Decretar el decomiso de fortunas mal habidas de funcionarios públicos,Invertir en el deporte y cultura de las colonias populares,Defender al pueblo indígena al 100%,Jalisco,2
Que continúe el apoyo para adultos mayores,Investigar bien a las personas antes de darles un puesto público,Que la ley dicte igualdad y se aplique para todos,Qué sigua el presidente López Obrador,Jalisco,2
Que los magistrados y jueces sean electos por el voto popular,Combatir la corrupción en las adquisiciones de obras públicas,Respetar a la guardia nacional y al ejército,,Jalisco,2
,Enseñar desde temprana edad valores de no corrupción,Más seguridad a las personas adultas mayores,,Jalisco,2
,Seguir con el control de gastos para que sea el pueblo el que mandate el rumbo de gastos,Más información para combatir las drogas,,Jalisco,2
,Evitar la corrupción en el sector salud sobre todo en los medicamentos para el cáncer,Capacitar a los nuevos policías,,Jalisco,2
,Hacer profundas observaciones sobre la tala inmoderada de flora y fauna en Jalisco,Establecer programas de prevención desde los municipios,,Jalisco,2
,Que haya más vigilancia y más autoridad social,Que el ejército y la marina apoye a combatir el narcotráfico qué genera violencia,,Jalisco,2
,Reforzar la seguridad pública y que los servidores públicos y funcionarios sepan exactamente cuáles son sus funciones,Garantizar la seguridad de la ciudadanía,,Jalisco,2
,,Que preparen bien a nuestros policías y les den equipos,,Jalisco,2
,,Publicación de los fallos por impartidores de justicia en boletín nacional,,Jalisco,2
Profesionalizar a los funcionarios públicos,Demandar y castigar a personajes partícipes de la corrupción,Profesionalizar a los cuerpos policiacos con licenciatura como mínimo,Generar lazos más profundos con países de primer mundo para mayores intercambios culturales económicos educativos y científicos,Jalisco,3
,Pedir rendición de cuentas de todos los gastos,Instalar más cámaras de vigilancia,Ayudar a países del sur para que tengan mejores condiciones de vida y evitemos migración,Jalisco,3
,Que realmente se aplique la ley a quienes se atrevan a ser corruptos que realmente se verifique que los costos de las obras públicas y adquisiciones gubernamentales no estén inflados,Más oportunidades para mujeres y discapacitados,,Jalisco,3
,,Insistir en que los impartidores de justicia sean electos por voto directo de los ciudadanos,,Jalisco,3
,,Apoyo en educación y deporte para fomentar los valores al ciudadano,,Jalisco,3
,,y generar proyectos para erradicar la violencia,,Jalisco,3
,,Fortalecer la seguridad pública,,Jalisco,3
,,Visitas continuas de personal del gobierno con la ciudadanía,,Jalisco,3
,,Renovar a los funcionarios de diferentes gobiernos,,Jalisco,3
,,En la polar políticas públicas para construir seguridad paz y justicia desde la infancia generar sinergia entre sociedad gobierno e instituciones,,Jalisco,3
,,Fomentar la seguridad en la juventud evitando el desvío del modo honesto y seguro de vivir,,Jalisco,3
Que los sueldos de funcionarios públicos no sean millonarios que sean fuentes de salario digno,Sueldos justos a los funcionarios,Legalizar la producción venta y consumo de drogas,Recuperar territorio,Jalisco,4
Que vean más a fondo cómo reducir la delincuencia y que se tome más en cuenta los derechos de los animales,Hacer campañas de concientización,Libertad a las fuerzas armadas,Participación más activa para combatir el cambio climático,Jalisco,4
Realizar una reforma que permita avanzar en la búsqueda de la democracia participativa,Aplicar filtros más rigurosos en los exámenes periódicos de control y confianza,Reformar al poder judicial,Mas apoyo a los inventos de México,Jalisco,4
Sueldo justo para servidores públicos no abusivo,Retirar el fuero federal,Combatir al narcotráfico urge proteger a las familias,,Jalisco,4
Que los servidores públicos sean elegidos por el pueblo,Cárcel a funcionarios corruptos de cualquier institución o puesto de gobierno,Crear métodos de reinserción más efectivos,,Jalisco,4
Revocar a jueces que hagan uso indebido de su cargo,Reforma el poder judicial,,,Jalisco,4
Revocación en cualquier cargo,Auditar las obras públicas para evitar robos,,,Jalisco,4
Crear el cuarto poder el poder ciudadano,Que haya presencia de seguridad policial en todas las zonas y que el cuerpo policial cumpla criterios que validen su cargo,Que las fiscalías tengan empatía ciudadana,Facilitar el voto en el extranjero,Jalisco,5
Que la austeridad no toque lo que tiene que ver con el servicio médico o el plan para la vivienda,Separar el poder político del poder económico,Transparencia en el poder judicial,Que se generen fuentes de empleo para evitar la migración,Jalisco,5
,Consecuencias públicas a corruptos,Atender a las víctimas de violencia para que no desistan y continúen con su denuncia,Apoyar en mitigar el cambio climático,Jalisco,5
,Integrar al sistema educativo materias como civismo ética moral filosofía oratoria y declamación,Más apoyo al deporte y cultura y combatir las burocracias,Impulsar cursos gratuitos de inglés y francés desde la edad preescolar,Jalisco,5
,Aplicar las leyes con mano dura y severa así sea una falta mínima se debe cumplir,Reformar el poder judicial,Soberanía energética y alimentaria,Jalisco,5
,Eliminar el fuero,Cárcel a jueces que liberen criminales y corruptos,Apoyo total al deporte no solo el fútbol,Jalisco,5
,Convocar a un constituyente para que exista el poder ciudadano,,,Jalisco,5
,Mayores sanciones a corruptos para que dejen de negociar con la justicia,,,Jalisco,5
Continuar quitando privilegios,Generar una ley para que los jóvenes pueda tener una jubilación,Fortalecer la seguridad,Reserva de áreas naturales protección a mujeres y niños en zonas rurales urbanas,Jalisco,6
Apoyo a personas con capacidades diferentes,Castigo a la corrupción,Que se obligue a los gobernadores y presidentes municipales a firmar todos los acuerdos de seguridad y combate a la corrupción,Defensa del medio ambiente no vendiendo terrenos,Jalisco,6
Regular el comercio,Reducir o simplificar y automatizar los trámites y gestiones donde exista corrupción,Que baje el precio del gas agua luz y demás servicios,Fuerte impulso a la ciencia y tecnología,Jalisco,6
Revisar los precios del transporte y generar ciclovías en toda la ciudad,Practicar a los funcionarios de alto nivel exámenes de control y confianza,Más seguridad en la vía pública,,Jalisco,6
,,Programas de atención y ayuda para jóvenes,,Jalisco,6
,,Seguir mejorando los salarios,,Jalisco,6
,,Más oportunidades para padres solteros,,Jalisco,6
,,Crear instituciones que apoyen a familias amenazadas que se realicen investigaciones profundas y mediáticas sobre víctimas y victimarios,,Jalisco,6
Respetar los programas sociales,Impulsar que los gobiernos estatales y municipales generen mecanismos y programas para que los ciudadanos tengan información sobre las finanzas públicas,Policía efectiva,Evitar el intervencionismo,Jalisco,7
,Denunciar la corrupción no participar en moches y hacer comunidad,Proteger a la niñez explotada por personas y padres,Solidaridad con los pueblos más necesitados,Jalisco,7
,,Fortalecer los consejos municipales de seguridad ciudadana,Proteger todos los recursos nacionales,Jalisco,7
,,Que el poder judicial no tenga autonomía,,Jalisco,7
Publicación de curriculum vitae y carta de no conflicto de interés de funcionarios públicos y que sea de forma permanente,Mecanismos de revisión de funcionarios públicos para evitar conflicto de intereses y corrupción,Fortalecer la comunicación y organización de los 3 órdenes de gobierno ,reducir la dependencia de méxico hacia los estados,Jalisco,8
Servicio profesional de carrera en los 3 órdenes de gobierno para que haya perfiles adecuados de servidores públicos,Mayor fiscalización y auditorías internas a las instituciones de gobierno ,Centros de esparcimiento sanos para jóvenes para evitar alcoholismo y drogadicción,Integración latinoamericana ,Jalisco,8
Imposibilidad de recibir amparos a quien ya sea investigado por corrupción,Promover y organizar observatorios ciudadanos para vigilar al gobierno,Reforzar a la guardia nacional al ejército y a la marina para la seguridad del pueblo,Buscar nuevos tratados comerciales con otros países ,Jalisco,8
Organismos ciudadanos de auditoría ,Revisar a las universidades públicas para evitar casos de corrupción como la estafa maestra,Profesionalizar a las policías estatales y municipales ,Crear el día del migrante para hacer conciencia sobre este problema ,Jalisco,8
Reforma al poder judicial y al ine ,Rendición de cuentas y transparencia a las instituciones de gobierno ,Fortalecer las actividades comunitarias en los municipios y que participen el ejército y la guardia nacional,Independencia tecnológica de México con respecto a otras potencias ,Jalisco,8
Rendición de cuentas y transparencia en el uso de recursos públicos ,Organismos ciudadanos de auditoría ,Legalización de las drogas,Atención a la problemática migrante ,Jalisco,8
Elección de ministros de la corte por el pueblo ,Cabal cumplimiento de la ley sin distinción alguna, Fortalecer las células de cultura de La Paz,,Jalisco,8
Revisar a las universidades públicas dónde se haya comprobado que hay corrupción,Difundir la ética moral en todo el país ,Que haya salarios dignos y jubilaciones dignas así como pensiones,,Jalisco,8
Capacitación constante como un derecho humano de las personas servidoras públicas,,Hacer justicia en los dolorosos casos de miles de desaparecidos,,Jalisco,8
Creación instituciones y leyes de democracia directa,,,,Jalisco,8
Remoción de burocracias que no aceleran la justicia poniendo trabas con amparos ,Más seguridad en la calle poniendo más patrullas ,Rondas policiacas más frecuentes,Consolidar la soberanía de México,Jalisco,9
Constante evaluación de los jueces ,Supervisión real a las instituciones de procuración de justicia para evitar la corrupción,Terminar con la relación de criminales y funcionarios públicos,Defender a nuestros migrantes en el exterior,Jalisco,9
Reforma al poder judicial ,Que el combate a la corrupción sea un tema que se incluya en los libros de educación básica,Más luminarias en la vía pública profesionalización de las policías ,Respeto a nuestra autonomía nacional ,Jalisco,9
Que se audite a los 3 órdenes de gobierno ,Que todos los servidores públicos presenten declaración patrimonial para ubicar el enriquecimiento ilícito , Crear módulos de seguridad en todas las colonias,,Jalisco,9
Mayores mecanismos de transparencia y rendición de cuentas del gasto público ,Auditorías a funcionarios públicos,Depurar a las policías municipales estatales y a las fiscalías ,,Jalisco,9
Dejar de financiar a los partidos políticos,Que no haya asignaciones directas,Fortalecer a la guardia nacional ,,Jalisco,9
Reducción de la Cámara de Diputados y Senadores,"Que haya una depuración en el partido por tanto chapulín que ingresó, y sobre todo para combatir la corrupción en el gobierno estatal y municipal",Mano dura con corruptos y delincuentes,Liderazgo en una agenda de integración en Latinoamérica,Jalisco,10
Ley a demanda a incumplidos,Procesos y consecuencias claros ante los actos de corrupción,Ley de demandas por incumplir,Homólogos,Jalisco,10
"Voto para que los ministros, magistrados y jueces se ha votado por el pueblo",No admitir el chapulines en morena,Que inmediatamente se haga justicia en juzgados y penales,Defensa de nuestra política exterior en el extranjero,Jalisco,10
Mejora la vigilancia,Ley de demanda a incumplidos,Paz y seguridad,Crear una ley para evitar dinero externo,Jalisco,10
Que ya se bajen los sueldos los miembros de la Suprema Corte,Que aumenten personal cajeros al pago bienestar. En vez de ser dos personas que sean cuatro y no falte el efectivo,Tener mesas de atención ciudadana ya atiendan Problemática vecinal,Nutrir de educación llena de valores y conocimientos al estado,Jalisco,10
Que se les haga exámenes de dopaje cada 3 meses y de polígrafo cada 6 meses o un año,Más limpieza a la ciudad,Que nuestras Fuerzas Armadas repelen los actos de agresión sin fundamentos cuando acuden a una detención delictiva o criminal,Asesorías legales y de trámites,Jalisco,10
"Que toda la burocracia sean o no independientes , sean cotizados y pensionados con IMSS o ISSSTE",Combatir la corrupción aunque sea de morena,Que haya más vigilancia,,Jalisco,10
Que los servicios públicos regresen a responsabilidad del Estado,Ilegible,"Que el presupuesto lo utilicen para bien del pueblo, no del gobernante",,Jalisco,10
Que haya más servicios a la comunidad ¿Dónde no fuera tan complicado recibirlos,Difundir una cultura de honestidad en la sociedad,Revocación de mandato a todos los servidores públicos por omisión o corrupción,,Jalisco,10
No permitir que otros poderes se atrincheren en los cargos como los ministros,Digitalizar los recursos públicos y dar seguimiento a las obras,Reforzar la opción C de manera laica y gratuita,,Jalisco,10
Que haya un registro de inspección de manera constante para dichos funcionarios basado en encuestas en las que opine la gente sobre ellos,Transformar la conciencia de los jóvenes con valores y ética a través del arte,Ilegible,,Jalisco,10
,,Crear una Academia Nacional Policial dónde entre otras cosas se instruya la humanidad,,Jalisco,10
,,Que los recursos de los policías se vayan en capacitación y no en patrullas,,Jalisco,10
Que las consultas ciudadanas tengan resultado inmediatos para motivar a que más personas se sumen y lo vean como algo real y sea realidad la revolución de las conciencias,Aplicar castigos más severos y pena de cárcel sin derecho a fianzas,"Penas más fuertes para violadores, secuestradores y narcotraficantes",Yo deseo que México no otorgue tan fácil la nacionalización,Jalisco,11
Que se aplica el la justicia y que haya alumbramiento en el parque de la solidaridad,"Mi petición personal es solicitar que se legalicen con escrituras nuestros hogares , ya que los terrenos fueron ejidales",Que se defienda a las mujeres golpeadas por el marido,Que no pasen armas a México de Estados Unidos,Jalisco,11
Que haya alumbramiento en el parque porque a veces asaltan a las personas,Que siempre sea relevante la participación del pueblo en todas las instituciones de gobierno,Que se defienda más a las mujeres,Insisto en consultas con mayor visibilidad,Jalisco,11
La Seguridad Pública es insuficiente,Que los ciudadanos estemos atentos y demandarlos con las autoridades competentes,Que se tome más en cuenta al pueblo bueno y trabajador en la seguridad Hola,Que se pague a los trabajadores,Jalisco,11
No sé,Que visiten colonias sin vigilancia y mas segundo patrullaje,,Que nos den a la gente nuestro dinero como debe ser,Jalisco,11
Que haya honestidad. Ya basta de tanto robo. Ayudar a los pobres,Defender los derechos de los niños y de las personas mayores,,,Jalisco,11
"Ayuda a las madres solteras, discapacitados y personas que andan en las calles sin hogar",Que se arreglen las calles como debe de ser y que haya alumbramiento,,,Jalisco,11
Que se apliquen castigos más severos a quienes cometan actos de corrupción,Evitar y erradicar el influyentismo,,,Jalisco,11
Que ganen menos que el presidente,,,,Jalisco,11
Reformar la suprema corte de justicia para que haya menos ministros,Hacer leyes con penas más duras para los funcionarios que lleven a actos de corrupción ,Profesionalización de las policías para la seguridad de los ciudadanos ,Luchar por la unión de los países latinoamericanos ,Jalisco,12
Qué haya más juicios políticos a ministros de la suprema corte que defienden intereses particulares particulares pues se ven involucrados en tráficos de influencias, Auditorías al gobierno,Aumentar el presupuesto a la impartición de justicia,Formar parte de los brics y de la opep ,Jalisco,12
Encarcelar a los expresidentes por traición a la patria ,Crear un instituto que vigile las licitaciones gubernamentales ,Capacitación para profesionalizar policías estatales y municipales,Promoción cultural de México en el extranjero ,Jalisco,12
Remoción del cargo de los servidores públicos que no hagan bien su trabajo, Pena de muerte a los servidores públicos corruptos,Visitar las alcaldías y los municipios para preguntar a la gente sobre sus necesidades de seguridad,Incentivar el sector económico y turístico de México,Jalisco,12
una nueva constitución para la cuarta transformación,,Reforma al código penal,Que todos los migrantes tengan facilidades de trabajo y que se les dé un trato digno ,Jalisco,12
,,Capacitación para los policías y que tengan conocimientos sobre derechos humanos,,Jalisco,12
,,Pena de muerte para traficantes,,Jalisco,12
,,No a la legalización de las drogas,,Jalisco,12
,,Generar un órgano autónomo independiente que ejecute orden de revisión y seguimiento a casos de desaparecidos ,,Jalisco,12
Reforma profunda al poder judicial,Fomentar en los niños los valores de honestidad,Capacitación profunda para policías ,Difundir el arte la cultura y la gastronomía de México en el mundo ,Jalisco,13
Que haya un uso transparente y rendición de cuentas de los gastos del gobierno y sus adquisiciones ,Que haya instituciones de procuración de justicia honestas ,Capacitación para las policías estatales y municipales,Más apoyo de los consulados a los mexicanos que están en el extranjero ,Jalisco,13
Revisar y fiscalizar a los organismos autónomos constitucionales ,Auditar a todas las instituciones públicas y a los poderes del estado para tener un control y saber en qué se gasta el dinero,Fomento a la ética y a los valores desde las escuelas ,Seguir con la doctrina estrada ,Jalisco,13
,,Búsqueda de las personas desaparecidas y que sus familias tengan justicia ,,Jalisco,13
,,Qué haya más guardia nacional y ejército en las zonas más peligrosas ,,Jalisco,13
,,Fomentar la educación cívica no sólo entre los niños sino también entre los adultos para un mejor comportamiento,,Jalisco,13
Reforma profunda al poder judicial y combate a la corrupción de jueces magistrados y ministros,Reforma al poder judicial y al poder legislativo para acabar con la corrupción desde ahí,Más seguridad en escuelas y parques ,Ayuda para el desarrollo económico y social de centroamérica,Jalisco,14
Remoción de fiscales y reforma a las fiscalías que se han convertido en fuentes de corrupción ,Mayor vigilancia a los poderes del estado para evitar la corrupción,Casas de protección para mujeres violentadas y asesoría jurídica para víctimas,Fortalecer la representación de México en la ONU ,Jalisco,14
Nueva constitución para la cuarta transformación ,Fomento de principios y valores cívicos ,Trabajo en las escuelas con los niños para fortalecer principios y valores cívicos y democráticos,Qué se respete la soberanía de México ,Jalisco,14
Que los consejeros del ine sean electos por el pueblo ,Combate a la desigualdad social para que no haya corrupción por necesidad,Fortalecer a la guardia nacional para que haya más vigilancia ,Terminar con la corrupción en los consulados ,Jalisco,14
Que los ministros de la suprema corte sean electos por el pueblo,Vigilancia estrecha al ejercicio de gobierno y haz los recursos del pueblo,Fortalecer el sistema de impartición de justicia ,Apoyar a los migrantes extranjeros que transitan por nuestro país ,Jalisco,14
reforma profunda al poder judicial y acabar con sus privilegios,Reforma profunda a la auditoría superior de la federación ,Capacitar a maestros y maestras para que impartan educación cívica,No a la intervención en conflictos ajenos a nuestro país ,Jalisco,14
,Auditorías a todas las empresas que contrata el gobierno y que no haya conflicto de intereses,Rescate de más espacios públicos ,Acceso a los tribunales de inmigración ,Jalisco,14
,Entes ciudadanos con personalidad jurídica para auditar las instituciones de gobierno,Fomento del deporte las artes y la cultura así como de valores y principios en la niñez,Hacer respetar el principio de autodeterminación de los pueblos ,Jalisco,14
Definir y aplicar la separación de lo público y lo privado ,Es indispensable mayores auditorías a los recursos entregados a municipios ,Desaparezca la policía estatal y municipal ,Respeto a la soberanía internacional ,Jalisco,15
 Separar el poder económico del poder político , Estoy muy a favor de la guardia nacional , Que sigue la guardia nacional , Ser autosuficientes para hacer ejemplo mundial ,Jalisco,15
Es urgente reformar el poder judicial , Aumentar las leyes para delitos a todos los ámbitos leyes más severas ," Creo que es necesario tener en las instituciones personas con vocación mi amor por lo que hace, ya que están puros corruptos y amigos que no les interesa el bienestar de las víctimas ",Chequeo las empresas para que no contaminen ,Jalisco,15
 Que se hagan más auditorías a nivel municipal tanto en obras públicas como el personal , Para delitos graves aumentar las penas , Crear e implementar acciones referentes a la familia para obtener una prevención temprana , Más apoyo a connacionales contra los políticos racistas ,Jalisco,15
 Aplicar un órgano que califique a los ministros que los obligue a declarar y si es posible eliminar su autonomía del poder , Institucionalizar el escarnio público justificado.  Legalizar la declaración patrimonial hacerla obligatoria ,Aumento de los salarios mínimos , Tomar más o incluirlos en los asuntos nacionales ,Jalisco,15
 Libertad para que la guardia nacional transite las calles , Supervisar los trabajos de gobiernos municipales , Que se investigue más por las personas desaparecidas ," Mayores oportunidades para la mujer.  No exista la violencia de género (política, etc) ",Jalisco,15
"Que la SCJN no sea autónoma, sino que haya participación del pueblo para el bien de la nación ", El buen juez por su casa empieza fiscalía es realmente independiente no más simulación o intereses personales , Legalizar el uso de las drogas para evitar su tráfico ,"Mejores oportunidades de trabajo, aplicación de la ley en materia de empleo ",Jalisco,15
" Limpieza de ríos guion, tratadoras de agua y plantar árboles ", Tener cámaras en cada persona dentro de la ley o investigar cualquier ingreso que no sea de gobierno ,Vetar música y programas con contenido relacionado al narco y violencia , Desarrollo de alta tecnología nacional.  Aplicaciones para industria y ejercito ,Jalisco,15
 Tomando en consideración que los candidatos son conocedores del derecho y sean personas con carrera judicial y realmente merecedoras del cargo , Que se castigue a todo funcionario público incluyendo a expresidentes corruptos , Cuidar las instituciones de tránsito ,,Jalisco,15
Platicar con todos las familias del proyecto involucrarnos en todo ,Reformar las leyes a favor del pueblo y no a favor de las empresas ," Supervisé el gobierno municipal (policías,  etc) estamos de acuerdo con la guardia nacional ",,Jalisco,15
 Que metan a trabajar gente honesta que de verdad sean bueno estas de corazón y no gente que entra a sacar provecho , Atacar casitas donde venden drogas , De acuerdo con la guardia nacional ,,Jalisco,15
 Creará en el estado de jalisco la escuela de formación política ,Hacer el examen de confianza y buena conducta a todos los aspirantes a puestos públicos ,Labores de inteligencia en las fuerzas de seguridad pública.  No basta salir a la calle con un arma ,,Jalisco,15
 Que todos lo morenitas no se dejen confundir con los rateros , Principios éticos fortalecer valores en las familias ,Ese supervisa el trabajo de policía y gobiernos municipales que sigue a la guardia nacional ,,Jalisco,15
 Reforma del poder judicial e independencia de la judicatura para combatir la corrupción en ese poder.  Ley para la destitución de funcionarios corruptos , Principios éticos fortalecer valores en las familias  , Que el gobierno estatal tenga convicción para dar seguridad a la ciudadanía en jalisco ,,Jalisco,15
 Que los ministros y jueces realicen exámenes para aplicar al puesto realizar también psicométrico para saber si es apto emocionalmente ,Más guardia nacional cerca a comunidades ,Priorizar las becas para las universidades ,,Jalisco,15
 Los gobiernos municipales y estatales sean elegidos por el pueblo y no por dedazo , No es necesario quitar a las personas provenientes de otros partidos para disminuir la corrupción , El gobierno debería recoger las armas que tiene el pueblo ,,Jalisco,15
Me gustaría que nuestros impuestos se utilizaran en bienes y servicios en las comunidades ,, Concientizar a la familia en todos los aspectos ,,Jalisco,15
,, Concientizar a la familia en todos los aspectos preparar a todas las policías del país para que lo abone a una seguridad mejor ,,Jalisco,15
,, Crear una secretaría de honestidad y justicia para sancionar a los malos gobiernos ,,Jalisco,15
,,  Mejorar el salario a nuestro gobierno para que no se vendan ,,Jalisco,15
,, Atender las necesidades de los más necesitados para mejorarles la vida ,,Jalisco,15
,, Tener la guardia nacional involucrada en los ayuntamientos municipales ,,Jalisco,15
,, Seguir apoyando a las familias pobres y a los estudiantes ,,Jalisco,15
,, Tener más elementos de seguridad al cuidado del pueblo ,,Jalisco,15
,,Cárcel a corruptos ,,Jalisco,15
,,Apoyar y obligar a los gobiernos municipales a combatir a los grupos criminales ,,Jalisco,15
,, Comités ciudadanos de vigilancia formados por voluntarios ,,Jalisco,15
,,  Legalizar algunas drogas ,,Jalisco,15
La suprema corte de justicia está podrida con tantos privilegios para corruptos ,"Haciendo un proceso funcional desde nivel alto, hasta abajo donde es cuando se le frena la corrupción en un inicio ",Que cumple la fiscalía con su deber ,Que detengan la inflación en México ,Jalisco,16
 Que se cumpla la misión de que sean electos por el pueblo jueces magistrados y todo lo que acontezca ,Eliminar el fuero en todos los cargos públicos , Que la guardia nacional sea con el pueblo no corrupción , Defender sobre cualquier interés de nuestros recursos ,Jalisco,16
 Que todo servidor público sea más territorio que escritorio como dijo nuestro presidente , No al desvío al desvío de recursos para obra pública para monumentos inútil , Que hagan valer la ley y se aplique con todo el peso , Hacer respetar la soberanía ,Jalisco,16
Que sean electos por el pueblo y que haya revocación de mandato ,Que no exista fuero en ningún cargo público , Que el ciudadano elija a jueces y magistrados , Mejorar las relaciones exteriores en todo el mundo ,Jalisco,16
 Fuera los pluri , Hacer énfasis en la red vocación de mandato pues los políticos nada más trabajan el primer año y después se dedican a robar , Erradicar por completo la corrupción , Tenemos que unirnos para el progreso del país ,Jalisco,16
 Que en la burocracia desaparezca , Poner un órgano interno para la supervisión del buen manejo de recursos , Que exista una coordinación entre los 3 gobiernos no importando quién gobierna , Promover la equidad entre las naciones ,Jalisco,16
Crear mejores reformas para sociedad y gobiernos sean incluyentes , Que a todos los políticos que entreguen les hagan una auditoría  , Que desaparezca la policía municipal , Recuperar nuestro valor como país ,Jalisco,16
 Que la burocracia atienda al pueblo ,"Lo que se te corrompe se destruye, por eso este es el principal problema de méxico, si se logra vencer habrá cambio, se requiere establecer programas de educación anticorrupción desde el nivel de educación básica "," La inseguridad es principalmente provocada por las élites, lo cual obliga crear acuerdos con todos los grupos sociales para atender este problema ", Debemos seguir defendiendo nuestra soberanía nacional ,Jalisco,16
  Que se aplique la ley de revocación de mandato , Promover la revolución de las conciencias es el único camino al cambio , Que no haya alianza con los carteles , Apoyo a los migrantes ,Jalisco,16
Democracia plena al interior de morena sin compra de votos ni a miembros ,Que apoyan siempre a sus familiares y se olvidan del pueblo , Que haya cárcel a los padres irresponsables y apoyo a las víctimas protección a los padres , Apoyo total a los migrantes ,Jalisco,16
 Que todos los funcionarios de la suprema corte de justicia los nombres del pueblo por su importante función ,Auditorías para todos los servidores públicos , Que el pueblo elige a los jueces y magistrados , Comunicación por parte de seguridad pública y nacional ,Jalisco,16
Que aumente la pensión a los adultos mayores y tengan derecho de por vida al servicio médico , Educación , Reforma al poder judicial ,,Jalisco,16
,Cero tolerancia a los corruptos , Https fortalecer la educación en niños la educación cívica ,,Jalisco,16
, Que den todo el apoyo , Propongo mejores condiciones de trabajo para las autoridades policiales ,,Jalisco,16
, Que las adquisiciones sean públicas a concursos sean reales y no simuladas o a dedazo , Regulen los contenidos del narco cultura ,,Jalisco,16
, En los comités de adquisiciones participen líderes sociales ,Recomponer el tejido social el neoliberalismo pulverizó ,,Jalisco,16
, Licitaciones abiertas y públicas comités de adquisiciones con personas reales , Por votación ciudadana elegir a los jueces y magistrados ,,Jalisco,16
, Auditorías y responsabilizar a los que desvíen recursos con cárcel ,Reforma al sistema judicial ,,Jalisco,16
, Investigar los ingresos con los que cuentan los servidores públicos ,Fortalecer los grupos policiales ,,Jalisco,16
, Más cámaras de vigilancia ,Apoyar con todo a la 4 t para que puedan llevar a cabo las reformas constitucionales ,,Jalisco,16
,, Que la fuerza única de rondines a las colonias vulnerables ,,Jalisco,16
Que dejen al presidente terminar su período como lo manda la constitución. ,Combatir la corrupción en los municipios. ,Que los gobernantes de morena pongan el ejemplo y sean honestos.,Que ayuden a los migrantes.,Jalisco,17
Que los empleados del gobierno trabajen para el pueblo.,Que la Secretaría de la función pública combata más la corrupción. ,Más observación hacia la guardia nacional para que no se corrompan. ,,Jalisco,17
