Reforma del Estado,Combate a la Corrupción,"Seguridad, Paz y Justicia",El papel de México en el Mundo,Estado,Distrito
"Reemplazar todo el poder judicial, fuera restos de toda la corrupción neoliberal, independencia de cada poder y que se respete el mandato del presidente y los srios.",Que los servidores públicos directores secretarios diputadas y diputados no usen présta nombres para conseguir contratos así como no permitir el nepotismo familiar con los cargos públicos,"El que la se la paga no guardarlos como estancos hoy, ya no hay que mantenerlos, ya basta.",Atender las propuestas de la Convención Nacional Morenista. ,CDMX,5
Fuera los corruptos ministros de la Suprema Corte.,"No atacar al personal que está haciendo el bien sino al contrario, seguir apoyando. ",Atender las propuestas de la Convención Nacional Morenista. ,"Apoyo a los gobiernos de izquierda, solidaridad. ",CDMX,5
"Reducción de diputados y senadores, eliminación de plurinominales. ",Seguimiento y auditorias constantes en alcaldías.,Crear los mecanismos para evitar a toda costa la impunidad; ninguna forma de impunidad,Voto desde el exterior.,CDMX,5
"Que sus sueldos sean justos y no exageradamente altos, fuera los privilegios exuberantes.",Comunicación la participación y bien común trabajo digno que alcance a cubrir necesidades básicas.,Que el Ejército continúe aportando su experiencia y sabiduría en la construcción de obras sociales. ,Crecimiento general industrial social.,CDMX,5
"Los jueces deben ser elegidos por el pueblo asimismo los magistrados y ministros es decir invalidar la autonomía, ya no órganos autónomos superiores, ya que el pueblo les paga los sueldos",Creo que el combate a la corrupción e impunidad sea más eficaz y eficiente ya que no se ha terminado.,Si un miembro de las Fuerzas Armadas comete un delito que lo juzguen por leyes civiles.,Necesitamos personas supercalificadas. ,CDMX,5
Disminuir la aportación económica los partidos políticos y también que se reduzcan los partidos. ,"Que nuestros representantes de partidos sean los idóneos si hay partidos de oposición (personas) que deseen integrar, se ganen la confianza del electorado, trabajen demostrando su honestidad, trabajo y amor a nuestro país y su gente.","Usar mejor tecnología en las camaras de videovigilancia C2, C4 y C5, ya que no son visibles los rostros y placas los rostros de automóviles.",Implementar el modelo económico chino.,CDMX,5
"Informar a la población quiénes pueden entrar a las ternas para ser votados, pues se cree que cualquier persona puede hacerlo sin tener estudios óptimos.",Cero corrupción efectiva. ,Las alcaldías deberían atender el servicio de seguridad como obligación. ,Recuperar el territorio nacional que nos robó Estados Unidos hoy por el gobierno que nos ayuda a reformar leyes a favor del pueblo.,CDMX,5
Cultura no podemos dominar algo si no tenemos conocimiento de ese algo.,Me preocupa que la austeridad influya en carencia de recursos para insumos y personal que abarca los servicios a la población como la construcción de edificios que no tengan dinero para funcionar. Proyecto de ley para que el presupuesto sea seguro.,Fiscalía supervisadas por congresos locales. ,Que no haya tanta desigualdad para que no haya tanta migración.,CDMX,5
Eliminación de plurinominales.,Muera la corrupción.,No a las ejecuciones extrajudiciales.,Integración con América Latina. ,CDMX,5
Reforma fiscal.,Limpiar los mandos en seguridad. ,Queremos seguridad en los pueblos.,Fortalecer y solidarizarnos con los gobiernos progresistas del mundo.,CDMX,5
"Que el Estado reconozca el servicio bien dado, ya sea el poder Judicial, Legislativo, Ejecutivo para reconocer bien, el trabajo bien hecho.",Establecer los presupuestos participativos.,El estado debe otorgar seguridad protección a las víctimas y cadena perpetua a los delincuentes. ,Priorizar nuestra autonomía. ,CDMX,5
Fortalecer las instituciones que fomentan la participación ciudadana. ,Sancionar económicamente a quienes intervengan en corrupción y si es grave ingresarlo al reclusorio. ,Combatir la raíz de la violencia: los carteles de la droga.,Primero las y los mexicanos después y se alcanza el presupuesto a los migrantes de Centroamérica. Se requieren empleos trabajo que los empresarios transnacionales generen empleo.,CDMX,5
"Que realmente sean atendidas las necesidades del pueblo, pero sobre todo se le dé solución. ",Prisión preventiva para desvío de recursos.,No podemos permitir que el Poder Judicial haga lo que quiera por eso fuera.,"Proponer oro, política industrial. ",CDMX,5
Que los que ganan más ayuden a la gente que necesita su apoyo. ,"Combatir realmente la impunidad ayudará a ir disminuyendo la corrupción es decir, castigar realmente todos los tipos de corrupción.",Adoptar una forma de seguridad. ,,CDMX,5
Eliminar el fuero al sistema judicial y legislativo para que puedan ser juzgados todos.,"Que así como a los de abajo se sancionan, también se sancionan justamente a senadores corruptos y no haya corrupción al dejarlos libres.",Atender a las personas que sufren de violencia.,,CDMX,5
Que se vayan todos los que se están robando el dinero del pueblo... fuera.,Cuidar mucho a las personas que tienen el control de mucho dinero para que no lo roben. ,"Que haya más seguridad en las calles, escuelas, parques y que sean honestos y que no sean corruptos los policías y los senadores. Tener en cuenta la palabra de las víctimas, que no se hagan de la vista gorda. ",,CDMX,5
Atender las propuestas de la Convención Nacional Morenista. ,"Limpiar las instituciones que quieran terminar con la corrupción y poner gente preparada, sobra en México.","Paz, seguridad y bienestar.",,CDMX,5
Profundizar en los valores que se plantean en la cartilla moral para elegir candidatos a cargos públicos.,"Aumentar las penas a personas acusadas de corrupción, incluso cadena perpetua. ",Hablar con víctimas y grupos que han apoyado y protegido.,,CDMX,5
Impulsar la reforma electoral para recuperar el papel realmente democrático del INE y del Tribunal Electoral. ,"Auditar y dar seguimiento a las obras y dar fe la misma, basta de tanto robo.",Que a las victimas de algún delito cuando levanten su denuncia se les atienda con respeto y con todas las garantías. ,,CDMX,5
Continuar que se nombre a las autoridades por el pueblo. ,"Que no sean tan corruptos tanto en la Cámara de Senadores, como en políticos policías que haya cárcel para este tipo de personas. ",Reparación de daños a victimas. ,,CDMX,5
Que el pueblo decida si algún político sea digno del puesto que está realizando no más privilegios. ,Contraponer ciudadanos que supervisen a los políticos corruptos.,Proteger a las víctimas. Que el estado garantice las leyes en materia de seguridad. Se requiere una ley rígida para los delincuentes para que paguen a lo los daños a la víctima.,,CDMX,5
Que haya más información de todos los programas que realiza el gobierno.,Hacer una declaración a los funcionarios públicos con toda transparencia. , Cumplir y hacer cumplir las leyes a beneficio de todos.,,CDMX,5
Eliminar a los plurinominales., Combatir la corrupción poner mucha vigilancia.,Obligar a tratamiento a personas violentas y si no castigar que los servidores públicos tengan curso. De humanismo y checar bien la capacidad de los mismos.,,CDMX,5
Reforma transversal que garantice igualdad de género.,"Auditorías a políticos, senadores, diputados, alcaldes y jefes de gobierno. ",Capacitación personal judicial y reforma al sistema penitenciario. ,,CDMX,5
Eliminación de plurinominales. ,"Hacer auditorias a los políticos como diputados y senadores, etc. ",Combatir la inseguridad poner policías. ,,CDMX,5
Reducir el número de diputados y senadores. ,Autonomía de la judicatura federal. ,,,CDMX,5
Cambios de adscripciones territoriales en su plaza laboral.,Qué el pueblo decida quien sea para hacer este puesto. ,,,CDMX,5
"Regresar a los tiempos donde el Presidente tiene el mando de los 3 poderes, no permite que la balanza esté neutral.",Podrian dar servicios sociales a los menores infractores y a los mayores corruptos en gran aportación a la sociedad y castigo. ,,,CDMX,5
Que sean un buen líder.,Que los funcionarios no aprovechen sus cargos para que por medio de familiares obtengan contratos millonarios. ,,,CDMX,5
Tener en cuenta a la gente (pueblo) que pueda participar con más frecuencia. ,"La 4T no avanzará en cuanto no se cambie el modelo de comunicación dominante, los medios en poder de una minoría.",,,CDMX,5
